Ticker,Description,Open,High,Low,Price,Volume,Volume*Price,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,1-Year Beta,Volatility,Sector,Industry,Market Capitalization,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern,Country,Exchange
IRAAW,Iris Acquisition Corp,0.0434,0.0497,0.0433,0.0434,21700,941.78,0,0,0,-13.2,-13.2,8.5,-34.3419062,-58.70599429,-60.07359706,-43.63636364,5.9056344,14.78060046,Finance,Financial Conglomerates,87952640,0.047588,0.03881948,0.06070174,0.09209663,48.83594676,0.01302646,0.03279747,0.06237853,Long Upper Shadow,Cayman Islands,NASDAQ
EBET,"EBET, INC.",0.0544,0.0679,0.0501,0.054,327854168,17704125.072,-0.0005,-0.91743119,-0.91743119,16.88311688,28.26603325,-30.85787452,-82.61429491,-84.98331479,-97.08108108,-91.16636676,1.6302091,35.52894212,Technology Services,Packaged Software,24194754.49541285,0.04674,0.06463,0.1475318,0.33970206,50.81444626,0.01145659,0.03340502,0.06007498,Long Upper Shadow,United States,NASDAQ
MCOM,micromobility.com Inc.,0.0737,0.076,0.0671,0.0674,40786428,2749005.2472,-0.0146,-17.80487805,-17.80487805,-2.4602026,-6.38888889,-4.26136364,-62.55555556,-98.87572977,-99.74566038,-98.96704981,1.7279443,22.20566319,Transportation,Other Transportation,9533164.49756098,0.07015,0.07934,0.257133,3.7860915,43.49494355,0.01177126,0.0606696,0.0796304,,United States,NASDAQ
CNXA,Connexa Sports Technologies Inc.,0.0818,0.0889,0.0733,0.0757,9532051,721576.2607,-0.0133,-14.94382022,-14.94382022,-22.35897436,-13.28751432,-36.91666667,-58.52054795,-57.94444444,-88.61996392,-69.72,1.1932071,21.41882674,Process Industries,Containers/Packaging,1828043.57640449,0.091875,0.120424,0.15390701,0.18247311,33.6179733,0.01719559,0.07762739,0.10612261,,United States,NASDAQ
NAVB,"Navidea Biopharmaceuticals, Inc.",0.105,0.1084,0.09,0.0923,6172816,569750.9168,-0.0206,-18.24623561,-18.24623561,21.44736842,0.32608696,14.65838509,-11.07899807,-72.56242568,-66.01620029,-60.04329004,0.42779174,25.44444444,Health Technology,Medical Specialties,9237787.8635961,0.09155,0.091792,0.106753,0.19334909,49.36923896,0.01581826,0.06531937,0.11778063,,United States,NYSE ARCA
POL,Polished Inc.,0.1125,0.1141,0.0978,0.1016,4517652,458993.4432,-0.0084,-7.63636364,-7.63636364,-27.94326241,-6.01295097,-22.32415902,-79.09895083,-81.27879123,-85.71629411,-82.75042445,4.3929243,16.66666667,Retail Trade,Electronics/Appliance Stores,10715739.06909091,0.11976,0.270858,0.379595,0.4972502,27.75908436,0.02129516,0.09788578,0.14163422,,United States,NYSE ARCA
GMBL,Esports Entertainment Group Inc.,0.1125,0.1155,0.1078,0.112,8306694,930349.728,-0.008,-6.66666667,-6.66666667,-13.17829457,-3.19792567,-42.59354177,-93.37278107,-94.86238532,-99.40457204,-98.56410256,1.4110951,11.31725417,Consumer Services,Movies/Entertainment,4782183.46666667,0.12903,0.351576,1.078864,3.7028085,24.61951159,0.03524993,0.09418405,0.16387595,Spinning Top Black,Malta,NASDAQ
WNW,Meiwu Technology Company Limited,0.1198,0.1245,0.1112,0.1195,610968,73010.676,0.0046,4.00348129,4.00348129,-0.41666667,-0.33361134,-25.3125,-34.05077263,-34.37671609,-82.21461527,-40.39900249,-0.08552818,11.96043165,Retail Trade,Internet Retail,7282964.42123586,0.125055,0.158289,0.17271571,0.30051436,36.09127156,0.01074762,0.09442675,0.15568325,Doji,China,NASDAQ
EJH,E-Home Household Service Holdings Limited,0.1199,0.12,0.11,0.1189,1012351,120368.5339,-0.0044,-3.56853204,-3.56853204,19.25777332,19.01901902,11.64319249,-27.89569436,-89.83760684,-99.70481629,-97.1891253,1.3511454,12.09090909,Consumer Services,Other Consumer Services,16309041.45012165,0.10526,0.113366,0.159459,1.61171495,59.18127636,0.01141132,0.09295904,0.11756096,"Bearish Harami, Long Lower Shadow",China,NASDAQ
RVLP,RVL Pharmaceuticals plc,0.1217,0.1298,0.1121,0.1211,2108084,255288.9724,-0.0014,-1.14285714,-1.14285714,8.125,5.30434783,-32.72222222,-85.14292725,-88.46666667,-95.79513889,-89.56034483,0.8549836,15.78947368,Health Technology,Pharmaceuticals: Major,13491272.53142857,0.12166,0.302758,0.548717,0.873083,33.16766625,0.03111195,0.08711262,0.15620738,Doji,United States,NASDAQ
FOXO,FOXO Technologies Inc.,0.1231,0.1273,0.1136,0.117,4009165,469072.305,-0.02,-14.59854015,-14.59854015,-20.02734108,-15.40130152,-10,-61.88925081,-64.42687747,-98.39506173,-68.17192601,3.111471,20.59859155,Technology Services,Packaged Software,6510423.15328467,0.136625,0.149496,0.243887,0.38676301,40.56754591,0.02591427,0.11705238,0.15619762,,United States,NYSE ARCA
MIMO,Airspan Networks Holdings Inc.,0.1255,0.1349,0.1105,0.1169,3383965,395585.5085,-0.0101,-7.95275591,-7.95275591,-13.79056047,-10.07692308,-21.27946128,-31.23529412,-87.56382979,-95.88380282,-91.65,-0.07985075,22.08144796,Electronic Technology,Computer Communications,8718751.77952756,0.13512,0.1509982,0.2184981,0.67855205,38.06878939,0.02497321,0.11931777,0.15092223,,United States,NYSE ARCA
AGRI,AgriFORCE Growing Systems Ltd.,0.1258,0.1268,0.1002,0.1065,26342407,2805466.3455,-0.0385,-26.55172414,-26.55172414,-1.84331797,25.29411765,-14.8,-60.55555556,-84.78571429,-93.50609756,-90.49107143,0.16438505,44.71057884,Commercial Services,Miscellaneous Commercial Services,4264819.67586207,0.10349,0.125414,0.251449,0.63313652,47.66546312,0.02073945,0.07650527,0.13047473,,Canada,NASDAQ
TCRT,"Alaunos Therapeutics, Inc.",0.1259,0.13,0.116,0.1219,678704,82734.0176,-0.0042,-3.33068993,-3.33068993,-13.54609929,-5.86872587,-6.30284397,-77,-75.12244898,-94.05365854,-82.07352941,2.9548337,12.06896552,Health Technology,Biotechnology,29332439.32355274,0.132705,0.298266,0.413749,0.516696,28.05013041,0.02145544,0.11599351,0.14941649,,United States,NASDAQ
SXTC,"China SXT Pharmaceuticals, Inc.",0.1281,0.136,0.115,0.1298,1627583,211260.2734,-0.0019,-1.44267274,-1.44267274,14.86725664,12.08981002,-16.79487179,-45.91666667,-59.70195591,-88.51327434,-75.17689807,1.9228753,18.26086957,Health Technology,Pharmaceuticals: Major,1835157.14502658,0.13406,0.16589998,0.19543795,0.32259971,45.49126943,0.0251297,0.07681867,0.19130133,,China,NASDAQ
CNEY,CN Energy Group Inc.,0.1282,0.1301,0.1165,0.1213,1328730,161174.949,-0.019799,-14.03199172,-14.03199172,-24.09261577,-12.10144928,-39.04522613,-42.01720841,-44.86363636,-94.35813953,-84.40272599,0.8814447,21.11502146,Producer Manufacturing,Electrical Products,5145202.48903252,0.15248245,0.17451404,0.19216626,0.3621797,33.59110417,0.0177848,0.1011675,0.2037974,,China,NASDAQ
AAU,"Almaden Minerals, Ltd.",0.131,0.1386,0.125949,0.130001,302668,39347.142668,0.000001,0.00076923,0.00076923,8.33416667,7.43884298,7.61672185,1.01087801,-36.55392875,-40.93548387,-47.04643585,0.6975593,10.04454184,Non-Energy Minerals,Precious Metals,17838919.98611177,0.123875,0.13570002,0.12972901,0.17355981,54.23766165,0.00758853,0.11739664,0.13035336,,Canada,NYSE ARCA
BTTR,Better Choice Company Inc.,0.139,0.139,0.1202,0.135,657799,88802.865,0.0002,0.14836795,0.14836795,-29.31937173,-3.08686289,-26.74986435,-44.09937888,-67.46987952,-92.05882353,-73.61735392,2.6254256,15.640599,Retail Trade,Specialty Stores,4330955.22997033,0.16712,0.206934,0.26071752,0.4231647,33.82915674,0.02609635,0.10855825,0.22568175,"Hammer, Long Lower Shadow",United States,NYSE ARCA
AVTX,"Avalo Therapeutics, Inc.",0.1395,0.1425,0.115,0.1234,85720695,10577933.763,-0.0091,-6.86792453,-6.86792453,23.4,34.86338798,-28.25581395,-96.89949749,-94.31336406,-96.9754902,-97.56126482,-0.73587584,23.91304348,Health Technology,Pharmaceuticals: Major,2584665.61962264,0.113575,0.182056,1.430261,2.529981,41.75628303,0.04862686,0.03920471,0.18794529,,United States,NASDAQ
INPX,Inpixon,0.1396,0.15,0.1333,0.144,2861760,412093.44,0.0038,2.71041369,2.71041369,-11.76470588,9.92366412,-19.01012373,-28.71287129,-61.65113182,-98.5509434,-91.72413793,2.205886,12.52813203,Technology Services,Information Technology Services,10374257.11840228,0.15689,0.173346,0.205868,0.6852565,41.92630037,0.01826148,0.12490295,0.18887705,Spinning Top White,United States,NASDAQ
SISI,"Shineco, Inc.",0.14,0.1487,0.127,0.1283,752333,96524.3239,-0.0102,-7.36462094,-7.36462094,-4.96296296,2.64,-30.68611561,-70.1627907,-78.96721311,-85.72858732,-94.58649789,-3.0548258,17.08661417,Process Industries,Agricultural Commodities/Milling,2727171.66425993,0.14322245,0.20090216,0.34353008,0.74069447,36.2560433,0.02373492,0.10166208,0.18478282,,China,NASDAQ
