Ticker,Description,Open,High,Low,Price,Volume,Volume*Price,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,1-Year Beta,Volatility,Sector,Industry,Market Capitalization,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern,Country,Exchange
IRAAW,Iris Acquisition Corp,0.0434,0.0497,0.0433,0.0434,21700,941.78,0,0,0,-13.2,-13.2,8.5,-34.3419062,-58.70599429,-60.07359706,-43.63636364,5.9056344,14.78060046,Finance,Financial Conglomerates,88202031,0.047588,0.03881948,0.06070174,0.09209663,48.83594676,0.01302646,0.03279747,0.06237853,Long Upper Shadow,Cayman Islands,NASDAQ
EBET,"EBET, INC.",0.0645,0.075,0.056,0.066,471558695,31122873.87,0.0131,24.7637051,21.10091743,42.85714286,65,-13.38582677,-56.89092097,-82.16216216,-96.11764706,-89.20333715,1.6302091,39.46428571,Technology Services,Packaged Software,29571368.62003781,0.04661,0.062032,0.1414078,0.33376806,58.17968172,0.0119942,0.03349529,0.05972471,Spinning Top White,United States,NASDAQ
MCOM,micromobility.com Inc.,0.0721,0.0745,0.0671,0.069,54332738,3748958.922,-0.0055,-7.38255034,-15.85365854,-0.1447178,-0.1447178,5.34351145,-56.875,-98.85,-99.71876911,-98.94252874,1.7279443,11.02831595,Transportation,Other Transportation,9759471.1409396,0.07098,0.07769,0.237268,3.678434,45.09908881,0.01144767,0.06265856,0.07930144,,United States,NASDAQ
POL,Polished Inc.,0.095,0.1084,0.0947,0.099,4839660,479126.34,0.0023,2.37849018,-10,-29.78723404,-10,-30.91416609,-78.46421579,-81.66666667,-86.48648649,-83.19185059,4.3929243,14.46673706,Retail Trade,Electronics/Appliance Stores,10441516.69079628,0.11634,0.25315,0.372309,0.4911852,28.08799985,0.01992389,0.09260105,0.14007895,,United States,NYSE ARCA
AGRI,AgriFORCE Growing Systems Ltd.,0.1051,0.165,0.1051,0.1298,59436690,7714882.362,0.0232,21.76360225,-10.48275862,19.63133641,37.35449735,10.46808511,-45.84897789,-82.69333333,-92.08536585,-88.41071429,0.16438505,56.99333968,Commercial Services,Miscellaneous Commercial Services,5197873.87617261,0.10381,0.12294,0.241077,0.62096852,55.77160542,0.02350085,0.07528717,0.13233283,,Canada,NASDAQ
NAVB,"Navidea Biopharmaceuticals, Inc.",0.106,0.113,0.095,0.0999,10137823,1012768.5177,0.001,1.01112235,-11.5146147,31.44736842,9.78021978,12.24719101,-9.18181818,-63.27205882,-61.57692308,-56.75324675,0.42779174,18.94736842,Health Technology,Medical Specialties,9998429.37815976,0.09281,0.091062,0.103852,0.19175659,53.03202956,0.01679533,0.06646074,0.11915926,,United States,NYSE ARCA
FOXO,FOXO Technologies Inc.,0.11,0.118,0.1097,0.115,2208748,254006.02,0.0023,2.04081633,-16.05839416,-21.39439508,-10.08600469,-18.14946619,-68.69044378,-65.52757794,-94.88888889,-68.71599565,3.111471,7.56608933,Technology Services,Packaged Software,6399133.67346939,0.13464,0.14665,0.237274,0.38292301,40.3829051,0.02363373,0.11084005,0.15843995,,United States,NYSE ARCA
GMBL,Esports Entertainment Group Inc.,0.1116,0.1219,0.1064,0.108,12173578,1314746.424,-0.0035,-3.13901345,-10,-16.27906977,-10,-46,-92.65306122,-94.375,-99.36470588,-98.61538462,1.4110951,14.56766917,Consumer Services,Movies/Entertainment,5155686.56502242,0.1228,0.311366,1.041559,3.585806,24.05408298,0.03242978,0.10558408,0.14001592,,Malta,NASDAQ
CNEY,CN Energy Group Inc.,0.1139,0.115,0.106,0.1104,1988656,219547.6224,-0.0048,-4.16666667,-21.75706419,-30.91364205,-9.13580247,-44.8,-48.04705882,-51.60017536,-94.88888889,-85.80429472,0.8814447,8.67924528,Producer Manufacturing,Electrical Products,4682854.625,0.14460245,0.17166404,0.19047826,0.3555302,30.21570758,0.01703332,0.09558968,0.19361522,,China,NASDAQ
RVLP,RVL Pharmaceuticals plc,0.1147,0.125,0.114001,0.117,3281089,383887.413,0.0008,0.68846816,-4.48979592,4.46428571,-1.68067227,-38.42105263,-84.69187492,-88.3,-95.76086957,-89.9137931,0.8549836,9.64816098,Health Technology,Pharmaceuticals: Major,13034506.83304647,0.118325,0.28762,0.534196,0.859349,32.65554299,0.0281888,0.08999255,0.14665745,,United States,NASDAQ
AVTX,"Avalo Therapeutics, Inc.",0.117,0.1335,0.1075,0.1101,59767123,6580360.2423,-0.0114,-9.38271605,-16.90566038,10.1,-48.55140187,-7.4789916,-97.21265823,-93.91712707,-97.34057971,-97.82411067,-0.73587584,24.18604651,Health Technology,Pharmaceuticals: Major,2306092.07407407,0.115195,0.172396,1.374177,2.475364,40.11601455,0.04636551,0.04161488,0.18877512,,United States,NASDAQ
EJH,E-Home Household Service Holdings Limited,0.123,0.123,0.105,0.1098,1391298,152764.5204,-0.0092,-7.73109244,-10.94890511,10.13039117,8.71287129,4.57142857,-23.37752966,-89.83333333,-99.63738441,-97.40425532,1.3511454,17.14285714,Consumer Services,Other Consumer Services,15060830.49075631,0.10612,0.112064,0.155281,1.54996395,49.75428438,0.01192098,0.0923318,0.1199082,,China,NASDAQ
MIMO,Airspan Networks Holdings Inc.,0.123,0.135,0.1203,0.1285,1772822,227807.627,0.0065,5.32786885,1.18110236,-5.2359882,4.47154472,-17.99617103,-25.72254335,-85.72222222,-96.12951807,-90.82142857,-0.07985075,12.21945137,Electronic Technology,Computer Communications,9583914.44672131,0.133615,0.1496002,0.2110031,0.66200455,44.87436512,0.02344526,0.11721338,0.15001662,,United States,NYSE ARCA
WNW,Meiwu Technology Company Limited,0.125,0.125,0.108,0.1181,369513,43639.4853,-0.0019,-1.58333333,2.78503046,-1.58333333,3.86983289,-28.42424242,-36.16216216,-30.69248826,-81.91424196,-41.09725686,-0.08552818,15.74074074,Retail Trade,Internet Retail,7197640.91416667,0.12139,0.155501,0.17140271,0.28866686,35.28543229,0.01197371,0.09853227,0.14424773,,China,NASDAQ
CNXA,Connexa Sports Technologies Inc.,0.13,0.142699,0.115,0.1332,25535129,3401279.1828,-0.0637,-32.35144744,49.66292135,36.61538462,51.70842825,21.31147541,-33.03167421,-22.51308901,-73.36,-46.72,1.1932071,71.2173913,Process Industries,Containers/Packaging,3216584.49568309,0.098865,0.119318,0.153969,0.18179866,54.94273282,0.03339824,0.04912431,0.14860569,Spinning Top White,United States,NASDAQ
